2019-12-23 13:27:37,161,2019-12-23_12_27_37,INFO,rs,1717612736,__main__,population_size,"10
",x_y_limits,400,z_sigma,5,sample_point_distance,350 Meters,selection_pressure,0.3,pc,0.7,pm,0.25,aimed_point_factor,1,n_crossover,3,mutation_max_disturbance_distance,120,mutation_group_size,5,percentage_inserted_and_deleted,0.25,percentage_disturbed,0.25,,,,,,,,,,,,,,,
2019-12-24 07:08:49,913,2019-12-23_12_27_37,INFO,10,threedpoints_1577102197__7,233.04181629703135,threedpoints_1577103910__5,16.93448210094341,threedpoints_1577103910__2,3.993663261496126,-3.8487434329939987,[[300.54096550914034,49.110196282330165,3.993663261496126],[267.0376899840658,18.38870605140472,4.2157292323987425],[277.61407537162756,30.526383711001888,4.017637473562596],[257.47106346949363,16.93448210094341,4.245099855115988],[253.41350429437688,22.69258731560639,4.243352917683272],[233.04181629703135,17.27219581144077,4.534063644955503],[265.4142302473926,26.817877534791066,4.071017289310117],[262.7821826893651,30.160189500507773,4.133058693762062],[260.22003079581765,19.00345110515212,4.238657822552376],[240.50599058260684,17.16239289122327,4.253453626883888],[264.2715584221301,35.06235866060696,4.104697262315145],[233.04181629703135,17.27219581144077,4.534063644955503]]
2019-12-24 11:04:23,028,2019-12-23_12_27_37,INFO,11,threedpoints_1577102197__7,233.04181629703135,threedpoints_1577103910__5,16.93448210094341,threedpoints_1577103910__2,3.993663261496126,593532981.4893086,[[300.54096550914034,49.110196282330165,3.993663261496126],[267.0376899840658,18.38870605140472,4.2157292323987425],[277.61407537162756,30.526383711001888,4.017637473562596],[257.47106346949363,16.93448210094341,4.245099855115988],[253.41350429437688,22.69258731560639,4.243352917683272],[233.04181629703135,17.27219581144077,4.534063644955503],[265.4142302473926,26.817877534791066,4.071017289310117],[262.7821826893651,30.160189500507773,4.133058693762062],[260.22003079581765,19.00345110515212,4.238657822552376],[240.50599058260684,17.16239289122327,4.253453626883888],[264.2715584221301,35.06235866060696,4.104697262315145],[233.04181629703135,17.27219581144077,4.534063644955503]]
2019-12-24 14:31:21,264,2019-12-23_12_27_37,INFO,12,threedpoints_1577102197__7,233.04181629703135,threedpoints_1577101571__12,11.902380180078607,threedpoints_1577103910__2,3.993663261496126,0.6234177523596571,[[300.54096550914034,49.110196282330165,3.993663261496126],[277.61407537162756,30.526383711001888,4.017637473562596],[233.04181629703135,17.27219581144077,4.534063644955503],[265.4142302473926,26.817877534791066,4.071017289310117],[264.2715584221301,35.06235866060696,4.104697262315145],[233.04181629703135,17.27219581144077,4.534063644955503],[274.66008709058656,37.159334832275825,4.067642142447735],[234.82496752867675,11.902380180078607,4.129039842166374],[233.04181629703135,17.27219581144077,4.534063644955503],[233.04181629703135,17.27219581144077,4.534063644955503]],,,,,,
2019-12-24 17:00:44,436,2019-12-23_12_27_37,INFO,13,threedpoints_1577103910__13,225.90925319810924,threedpoints_1577101571__12,11.902380180078607,threedpoints_1577103910__2,3.993663261496126,-2.878751465643745,[[300.54096550914034,49.110196282330165,3.993663261496126],[277.61407537162756,30.526383711001888,4.017637473562596],[265.4142302473926,26.817877534791066,4.071017289310117],[274.66008709058656,37.159334832275825,4.067642142447735],[234.82496752867675,11.902380180078607,4.129039842166374],[225.90925319810924,12.248317866648964,4.502689453355815],[263.96302867200774,34.75451425415517,4.0803385393287135],[233.6162397209269,12.636252480617387,4.237694606667285]],,,,,,,,,,,,
2019-12-24 19:56:17,860,2019-12-23_12_27_37,INFO,14,threedpoints_1577103910__13,225.90925319810924,threedpoints_1577102197__14,11.485013698210476,threedpoints_1577103910__2,3.993663261496126,-1.0358735115655975,[[300.54096550914034,49.110196282330165,3.993663261496126],[277.61407537162756,30.526383711001888,4.017637473562596],[265.4142302473926,26.817877534791066,4.071017289310117],[234.82496752867675,11.902380180078607,4.129039842166374],[225.90925319810924,12.248317866648964,4.502689453355815],[263.96302867200774,34.75451425415517,4.0803385393287135],[233.6162397209269,12.636252480617387,4.237694606667285],[240.83126037542343,11.485013698210476,4.346302623701427],[277.59926944249696,30.388875726057737,4.018335313546921],[269.3343017841262,32.621728085132375,4.059298297743607],[225.90925319810924,12.248317866648964,4.502689453355815],[225.90925319810924,12.248317866648964,4.502689453355815]]
2019-12-24 23:28:03,977,2019-12-23_12_27_37,INFO,15,threedpoints_1577103910__13,225.90925319810924,threedpoints_1577102197__14,11.485013698210476,threedpoints_1577103910__2,3.993663261496126,-2.6948795043687284,[[300.54096550914034,49.110196282330165,3.993663261496126],[277.61407537162756,30.526383711001888,4.017637473562596],[265.4142302473926,26.817877534791066,4.071017289310117],[234.82496752867675,11.902380180078607,4.129039842166374],[225.90925319810924,12.248317866648964,4.502689453355815],[263.96302867200774,34.75451425415517,4.0803385393287135],[233.6162397209269,12.636252480617387,4.237694606667285],[240.83126037542343,11.485013698210476,4.346302623701427],[277.59926944249696,30.388875726057737,4.018335313546921],[269.3343017841262,32.621728085132375,4.059298297743607],[225.90925319810924,12.248317866648964,4.502689453355815],[258.0075757137021,27.135950971820833,4.111447920370837]]
2019-12-25 02:57:57,473,2019-12-23_12_27_37,INFO,16,threedpoints_1577102325__16,224.00884076528266,threedpoints_1577102197__14,11.485013698210476,threedpoints_1577103910__2,3.993663261496126,-6.982211921672857,[[300.54096550914034,49.110196282330165,3.993663261496126],[277.61407537162756,30.526383711001888,4.017637473562596],[265.4142302473926,26.817877534791066,4.071017289310117],[234.82496752867675,11.902380180078607,4.129039842166374],[263.96302867200774,34.75451425415517,4.0803385393287135],[233.6162397209269,12.636252480617387,4.237694606667285],[240.83126037542343,11.485013698210476,4.346302623701427],[277.59926944249696,30.388875726057737,4.018335313546921],[269.3343017841262,32.621728085132375,4.059298297743607],[258.0075757137021,27.135950971820833,4.111447920370837],[227.34602007693516,12.117804673499279,4.488279602223509],[224.00884076528266,12.411023037815589,4.551519316179773]]
2019-12-25 07:38:30,690,2019-12-23_12_27_37,INFO,17,threedpoints_1577102325__16,224.00884076528266,threedpoints_1577102197__14,11.485013698210476,threedpoints_1577103910__2,3.993663261496126,-2.6941679237515928,[[300.54096550914034,49.110196282330165,3.993663261496126],[265.4142302473926,26.817877534791066,4.071017289310117],[263.96302867200774,34.75451425415517,4.0803385393287135],[233.6162397209269,12.636252480617387,4.237694606667285],[240.83126037542343,11.485013698210476,4.346302623701427],[277.59926944249696,30.388875726057737,4.018335313546921],[269.3343017841262,32.621728085132375,4.059298297743607],[258.0075757137021,27.135950971820833,4.111447920370837],[224.00884076528266,12.411023037815589,4.551519316179773],[224.00884076528266,12.411023037815589,4.551519316179773],[265.26775683312866,35.728130896086824,4.0237935249520875],[277.61407537162756,30.526383711001888,4.017637473562596]]
2019-12-25 11:59:24,988,2019-12-23_12_27_37,INFO,18,threedpoints_1577103910__18,224.00863243158557,threedpoints_1577102197__14,11.485013698210476,threedpoints_1577103910__2,3.993663261496126,-5.341378349406753,[[300.54096550914034,49.110196282330165,3.993663261496126],[265.4142302473926,26.817877534791066,4.071017289310117],[263.96302867200774,34.75451425415517,4.0803385393287135],[233.6162397209269,12.636252480617387,4.237694606667285],[240.83126037542343,11.485013698210476,4.346302623701427],[277.59926944249696,30.388875726057737,4.018335313546921],[265.26775683312866,35.728130896086824,4.0237935249520875],[224.00863243158557,12.341094247073217,4.5513756840364366],[269.3343017841262,32.621728085132375,4.059298297743607],[277.61407537162756,30.526383711001888,4.017637473562596],[255.9745238009834,26.05092655050264,4.095628284521397],[244.8340124411211,18.486047164358443,4.124566954047935]]
2019-12-25 17:25:57,844,2019-12-23_12_27_37,INFO,19,threedpoints_1577103910__18,224.00863243158557,threedpoints_1577102197__14,11.485013698210476,threedpoints_1577103910__2,3.993663261496126,-2.0978528219896333,[[300.54096550914034,49.110196282330165,3.993663261496126],[263.96302867200774,34.75451425415517,4.0803385393287135],[233.6162397209269,12.636252480617387,4.237694606667285],[240.83126037542343,11.485013698210476,4.346302623701427],[277.59926944249696,30.388875726057737,4.018335313546921],[265.26775683312866,35.728130896086824,4.0237935249520875],[224.00863243158557,12.341094247073217,4.5513756840364366],[269.3343017841262,32.621728085132375,4.059298297743607],[277.61407537162756,30.526383711001888,4.017637473562596],[255.9745238009834,26.05092655050264,4.095628284521397],[235.21670775650676,16.36228426826005,4.218043521905773],[248.74893157533137,24.140781875219723,4.0998219356915815]]
